period,time,call_type,committing,disadvantaged,decision,comments,game_details,page,file,game_date,away_score,away_team,home_score,home_team
Q4,01:49.8,Foul: Offensive,Blake Griffin,Jeremy Lin,CNC,Griffin (DET) is established in the path of Lin (ATL) and gives him room to avoid the contact.,"Hawks (98) @ Pistons (95) (Dec 23, 2018)",1,L2M-ATL-DET-12-23-2018-1.pdf,"Dec 23, 2018",98,Hawks,95,Pistons
Q4,01:45.0,Foul: Personal,Jeremy Lin,Blake Griffin,CNC,Lin (ATL) maintains a legal guarding position on the drive by Griffin (DET).,"Hawks (98) @ Pistons (95) (Dec 23, 2018)",1,L2M-ATL-DET-12-23-2018-1.pdf,"Dec 23, 2018",98,Hawks,95,Pistons
Q4,01:44.5,Foul: Offensive,Zaza Pachulia,Kevin Huerter,CNC,Pachulia (DET) firms up in the path of Huerter (ATL) and absorbs the contact on his screen.,"Hawks (98) @ Pistons (95) (Dec 23, 2018)",1,L2M-ATL-DET-12-23-2018-1.pdf,"Dec 23, 2018",98,Hawks,95,Pistons
Q4,01:32.7,Foul: Loose Ball,Blake Griffin,Jeremy Lin,CNC,Griffin (DET) engages with Lin (ATL) on the rebound but does not deliver contact to dislodge him from his legally obtained position.,"Hawks (98) @ Pistons (95) (Dec 23, 2018)",1,L2M-ATL-DET-12-23-2018-1.pdf,"Dec 23, 2018",98,Hawks,95,Pistons
Q4,01:23.4,Foul: Shooting,Reggie Bullock,Jeremy Lin,CNC,Bullock (DET) maintains a legal guarding position on Lin's (ATL) shot.,"Hawks (98) @ Pistons (95) (Dec 23, 2018)",1,L2M-ATL-DET-12-23-2018-1.pdf,"Dec 23, 2018",98,Hawks,95,Pistons
Q4,01:22.0,Foul: Personal,Kent Bazemore,Langston Galloway,CNC,Bazemore (ATL) and Galloway (DET) engage and disengage during the screen.,"Hawks (98) @ Pistons (95) (Dec 23, 2018)",1,L2M-ATL-DET-12-23-2018-1.pdf,"Dec 23, 2018",98,Hawks,95,Pistons
Q4,01:16.7,Foul: Offensive,Langston Galloway,Vince Carter,CNC,Galloway (DET) is established in the path of Carter (ATL) when he gives him room to avoid the contact.,"Hawks (98) @ Pistons (95) (Dec 23, 2018)",1,L2M-ATL-DET-12-23-2018-1.pdf,"Dec 23, 2018",98,Hawks,95,Pistons
Q4,01:13.9,Turnover: Traveling,Reggie Jackson,Hawks,,[Observable in enhanced video] Jackson (DET) slides his pivot foot at the start of his dribble.,"Hawks (98) @ Pistons (95) (Dec 23, 2018)",1,L2M-ATL-DET-12-23-2018-1.pdf,"Dec 23, 2018",98,Hawks,95,Pistons
Q4,01:11.8,Foul: Offensive,Reggie Jackson,Jeremy Lin,CC,Jackson (DET) extends his arm into Lin (ATL) at the end of his drive and affects his ability to defend the shot.,"Hawks (98) @ Pistons (95) (Dec 23, 2018)",1,L2M-ATL-DET-12-23-2018-1.pdf,"Dec 23, 2018",98,Hawks,95,Pistons
Q4,01:07,Foul: Personal,Blake Griffin,Alex Len,CNC,Griffin (DET) and Len (ATL) engage and separate when trying to gain post position.,"Hawks (98) @ Pistons (95) (Dec 23, 2018)",1,L2M-ATL-DET-12-23-2018-1.pdf,"Dec 23, 2018",98,Hawks,95,Pistons
Q4,00:57.1,Foul: Offensive,Zaza Pachulia,Jeremy Lin,CNC,Pachulia (DET) establishes himself in the path of Lin (ATL) by firming up and absorbing the contact on the pick.,"Hawks (98) @ Pistons (95) (Dec 23, 2018)",1,L2M-ATL-DET-12-23-2018-1.pdf,"Dec 23, 2018",98,Hawks,95,Pistons
Q4,00:55.0,Foul: Shooting,Alex Len,Reggie Jackson,CC,Len (ATL) makes contact with Jackson's (DET) body and affects his driving shot attempt.,"Hawks (98) @ Pistons (95) (Dec 23, 2018)",1,L2M-ATL-DET-12-23-2018-1.pdf,"Dec 23, 2018",98,Hawks,95,Pistons
Q4,00:40.9,Foul: Offensive,Alex Len,Reggie Bullock,CNC,Len (ATL) establishes himself in the path of Bullock (DET) and gives him room to avoid the contact on the pick.,"Hawks (98) @ Pistons (95) (Dec 23, 2018)",1,L2M-ATL-DET-12-23-2018-1.pdf,"Dec 23, 2018",98,Hawks,95,Pistons
Q4,00:38.6,Foul: Personal,Zaza Pachulia,Jeremy Lin,CNC,Pachulia (DET) maintains a legal guarding position and cleanly dislodges the ball.,"Hawks (98) @ Pistons (95) (Dec 23, 2018)",1,L2M-ATL-DET-12-23-2018-1.pdf,"Dec 23, 2018",98,Hawks,95,Pistons
Q4,00:31,Foul: Personal,Vince Carter,Reggie Jackson,CNC,Carter (ATL) maintains a legal guarding position when he cleanly dislodges the ball from Jackson (DET) on his drive.,"Hawks (98) @ Pistons (95) (Dec 23, 2018)",1,L2M-ATL-DET-12-23-2018-1.pdf,"Dec 23, 2018",98,Hawks,95,Pistons
