period,time,call_type,committing,disadvantaged,decision,comments,stint,game_id,game_details,game_date,scrape_time
Q4,02:00.0,Foul: Personal,Ben Simmons,Evan Fournier,CNC,Simmons (PHI) cleanly dislodges the ball from Fournier (ORL) on the perimeter.,24.4897957% Complete    02:11.1       To       01:58.7,gameId=0021900468,76ers(97) @ Magic(98),"December 27, 2019",2019-12-30T18:49:53Z
Q4,01:58.7,Turnover: Bad Pass,Aaron Gordon,Tobias Harris,CC,Possession is correctly awarded to Philadelphia.,24.4897957% Complete    02:11.1       To       01:58.7,gameId=0021900468,76ers(97) @ Magic(98),"December 27, 2019",2019-12-30T18:49:53Z
Q4,01:58.7,Foul: Loose Ball,Evan Fournier,Ben Simmons,CC,Fournier (ORL) holds Simmons (PHI) during the loose ball situation and affects his FOM.,1% Complete    01:58.7       To       01:58.6,gameId=0021900468,76ers(97) @ Magic(98),"December 27, 2019",2019-12-30T18:49:53Z
Q4,01:43.9,Foul: Loose Ball,Nikola Vucevic,Joel Embiid,CNC,Vucevic (ORL) briefly grasps Embiid's (PHI) elbow but does not prevent him from getting to the loose ball.,38.77551% Complete    01:49.0       To       01:29.3,gameId=0021900468,76ers(97) @ Magic(98),"December 27, 2019",2019-12-30T18:49:53Z
Q4,01:38.6,Foul: Offensive,Josh Richardson,Evan Fournier,CNC,Richardson (PHI) is firming up in a screening position in Fournier's (ORL) path when contact occurs and he absorbs the contact.,38.77551% Complete    01:49.0       To       01:29.3,gameId=0021900468,76ers(97) @ Magic(98),"December 27, 2019",2019-12-30T18:49:53Z
Q4,01:29.3,Foul: Personal,Al Horford,Markelle Fultz,CNC,Horford (PHI) makes contact with Fultz's (ORL) body in transition but Fultz is able to move through the marginal contact.,28.5714283% Complete    01:29.3       To       01:14.8,gameId=0021900468,76ers(97) @ Magic(98),"December 27, 2019",2019-12-30T18:49:53Z
Q4,01:20.6,Foul: Away from Play,Al Horford,Jonathan Isaac,CC,Horford (PHI) holds Isaac (ORL) during the inbound and affects his FOM.,28.5714283% Complete    01:29.3       To       01:14.8,gameId=0021900468,76ers(97) @ Magic(98),"December 27, 2019",2019-12-30T18:49:53Z
Q4,01:20.6,Foul: Personal,Ben Simmons,Markelle Fultz,CC,Simmons (PHI) engages Fultz (ORL) with two hands on ball and affects his SQBR.,28.5714283% Complete    01:29.3       To       01:14.8,gameId=0021900468,76ers(97) @ Magic(98),"December 27, 2019",2019-12-30T18:49:53Z
Q4,01:20.5,Foul: Away from Play,Joel Embiid,Jonathan Isaac,CNC,Embiid (PHI) and Isaac (ORL) briefly engage and separate during the inbound.,28.5714283% Complete    01:29.3       To       01:14.8,gameId=0021900468,76ers(97) @ Magic(98),"December 27, 2019",2019-12-30T18:49:53Z
Q4,01:16.6,Foul: Shooting,Josh Richardson,Nikola Vucevic,CNC,"Richardson (PHI) makes incidental ""high-five"" contact with Vucevic (ORL) after the release on his jump shot attempt.",28.5714283% Complete    01:29.3       To       01:14.8,gameId=0021900468,76ers(97) @ Magic(98),"December 27, 2019",2019-12-30T18:49:53Z
