period,time,call_type,committing,disadvantaged,decision,comments,stint,game_id,game_details,game_date,scrape_time
Q4,01:57.4,Foul: Defense 3 Second,Keita Bates-Diop,Suns,CNC,Bates-Diop (SAS) is in the paint for less than three seconds when the shot is imminent.,26.5306129% Complete    02:08.5       To       01:55.4,gameId=0022001078,Suns(123) @ Spurs(121),"May 16, 2021",2021-05-17T18:08:23Z
Q4,01:52,Foul: Personal,Jevon Carter,Keita Bates-Diop,CNC,Carter (PHX) makes clean hand on ball contact as he tries to steal the ball from Bates-Diop (SAS).,32.65306% Complete    01:55.4       To       01:38.5,gameId=0022001078,Suns(123) @ Spurs(121),"May 16, 2021",2021-05-17T18:08:23Z
Q4,01:44.5,Turnover: Stepped out of Bounds,Devin Vassell,Spurs,CNC,Vassell's (SAS) foot remains in bounds upon receiving the pass and starting his dribble.,32.65306% Complete    01:55.4       To       01:38.5,gameId=0022001078,Suns(123) @ Spurs(121),"May 16, 2021",2021-05-17T18:08:23Z
Q4,01:40.3,Foul: Shooting,Langston Galloway,Quinndary Weatherspoon,CNC,Galloway (PHX) legally contests Weatherspoon's (SAS) jump shot attempt.,32.65306% Complete    01:55.4       To       01:38.5,gameId=0022001078,Suns(123) @ Spurs(121),"May 16, 2021",2021-05-17T18:08:23Z
Q4,01:24.9,Foul: Loose Ball,Drew Eubanks,Jalen Smith,CNC,Eubanks (SAS) has his hands resting on Smith's (PHX) back and releases from the contact as he pursues the long rebound.,26.5306129% Complete    01:38.5       To       01:24.9,gameId=0022001078,Suns(123) @ Spurs(121),"May 16, 2021",2021-05-17T18:08:23Z
Q4,01:14.0,Foul: Personal,Drew Eubanks,Jalen Smith,CNC,Eubanks (SAS) makes hand on ball contact to cleanly deflect away the post entry pass to Smith (PHX).,20.4081631% Complete    01:18.2       To       01:07.6,gameId=0022001078,Suns(123) @ Spurs(121),"May 16, 2021",2021-05-17T18:08:23Z
Q4,00:55.5,Foul: Personal,Jevon Carter,Drew Eubanks,CNC,Carter (PHX) makes clean ball contact to dislodge it from Eubanks (SAS) in the post. Any contact between them or with Craig (PHX) as they go to the ground to pursue the loose ball is deemed incidental.,24.4897957% Complete    01:07.6       To       00:55.5,gameId=0022001078,Suns(123) @ Spurs(121),"May 16, 2021",2021-05-17T18:08:23Z
Q4,00:29.9,Foul: Personal,Drew Eubanks,E'Twaun Moore,CNC,"Eubanks (SAS) retracts his arm into a vertical position and marginal contact occurs with Moore's (PHX) arm, which does not affect his intended pass.",63.2653046% Complete    00:55.5       To       00:24.0,gameId=0022001078,Suns(123) @ Spurs(121),"May 16, 2021",2021-05-17T18:08:23Z
Q4,00:11.0,Foul: Shooting,Torrey Craig,Tre Jones,CC,"Craig (PHX) makes contact with Jones' (SAS) arm, which affects his driving shot attempt.",26.5306129% Complete    00:24.0       To       00:10.1,gameId=0022001078,Suns(123) @ Spurs(121),"May 16, 2021",2021-05-17T18:08:23Z
Q4,00:11.0,Foul: Shooting,Torrey Craig,Keita Bates-Diop,CNC,Craig (PHX) tries to secure the rebound with two hands and marginal contact occurs to Bates-Diop's (SAS) arm after the release on his tip-in.,26.5306129% Complete    00:24.0       To       00:10.1,gameId=0022001078,Suns(123) @ Spurs(121),"May 16, 2021",2021-05-17T18:08:23Z
Q4,00:07.4,Foul: Personal,Tre Jones,E'Twaun Moore,CC,Jones (SAS) commits a take foul on Moore (PHX).,14.2857141% Complete    00:10.1       To       00:02.2,gameId=0022001078,Suns(123) @ Spurs(121),"May 16, 2021",2021-05-17T18:08:23Z
Q4,00:04.0,Foul: Shooting,Tre Jones,E'Twaun Moore,CNC,Jones (SAS) legally contests Moore's (PHX) jump shot attempt.,14.2857141% Complete    00:10.1       To       00:02.2,gameId=0022001078,Suns(123) @ Spurs(121),"May 16, 2021",2021-05-17T18:08:23Z
Q4,00:00.4,Foul: Shooting,Torrey Craig,Devin Vassell,CNC,Craig (PHX) legally contests and cleanly blocks Vassell's (SAS) jump shot attempt.,4.08163261% Complete    00:02.2       To       00:00.0,gameId=0022001078,Suns(123) @ Spurs(121),"May 16, 2021",2021-05-17T18:08:23Z
