period,time,call_type,committing,disadvantaged,decision,comments,stint,game_id,game_details,game_date,scrape_time
Q4,01:48,Foul: Offensive,Hamidou Diallo,Spencer Dinwiddie,CNC,Diallo (DET) establishes himself in a screening position in Dinwiddie's (WAS) path and does not deliver contact.,34.69388% Complete    02:03.7       To       01:46.1,gameId=0022100368%0d,Wizards(119) @ Pistons(116),"December 08, 2021",2021-12-12T19:52:54Z
Q4,01:37.0,Foul: Shooting,Cade Cunningham,Bradley Beal,CNC,Cunningham (DET) reaches in and places his hand on top of the ball after Beal's (WAS) gather. Cunningham's hand remains on the ball as Beal returns to the floor. A held ball is correctly whistled.,42.857143% Complete    01:46.1       To       01:25.0,gameId=0022100368%0d,Wizards(119) @ Pistons(116),"December 08, 2021",2021-12-12T19:52:54Z
Q4,01:35.2,Foul: Offensive,Daniel Gafford,Hamidou Diallo,CNC,Gafford (WAS) establishes himself in a screening position in Diallo's (DET) path and makes marginal contact as he disengages.,42.857143% Complete    01:46.1       To       01:25.0,gameId=0022100368%0d,Wizards(119) @ Pistons(116),"December 08, 2021",2021-12-12T19:52:54Z
Q4,01:32,Foul: Loose Ball,Hamidou Diallo,Kentavious Caldwell-Pope,CNC,Diallo (DET) and Caldwell-Pope (WAS) briefly engage in marginal contact prior to disengaging during the loose ball.,42.857143% Complete    01:46.1       To       01:25.0,gameId=0022100368%0d,Wizards(119) @ Pistons(116),"December 08, 2021",2021-12-12T19:52:54Z
Q4,01:25.0,Foul: Loose Ball,Isaiah Stewart,Daniel Gafford,INC,Stewart (DET) grabs Gafford's (WAS) jersey during the rebound and the contact affects his ability to move freely.,42.857143% Complete    01:46.1       To       01:25.0,gameId=0022100368%0d,Wizards(119) @ Pistons(116),"December 08, 2021",2021-12-12T19:52:54Z
Q4,01:14,Foul: Personal,Kentavious Caldwell-Pope,Jerami Grant,CNC,Caldwell-Pope (WAS) and Grant (DET) briefly engage in marginal contact off ball prior to separating.,67.34694% Complete    01:25.0       To       00:51.1,gameId=0022100368%0d,Wizards(119) @ Pistons(116),"December 08, 2021",2021-12-12T19:52:54Z
Q4,01:10,Foul: Shooting,Kentavious Caldwell-Pope,Jerami Grant,CNC,Replay review of the foul called on Caldwell-Pope (WAS) pursuant to a coach?s challenge was deemed successful. Caldwell-Pope (WAS) swipes down and makes incidental hand on ball contact which dislodges it from Grant (DET) during his driving shot attempt.,67.34694% Complete    01:25.0       To       00:51.1,gameId=0022100368%0d,Wizards(119) @ Pistons(116),"December 08, 2021",2021-12-12T19:52:54Z
Q4,01:03.3,Foul: Offensive,Isaiah Stewart,Kentavious Caldwell-Pope,CNC,Stewart (DET) establishes himself in a screening position in Caldwell-Pope's (WAS) path and gives him a step to avoid contact.,67.34694% Complete    01:25.0       To       00:51.1,gameId=0022100368%0d,Wizards(119) @ Pistons(116),"December 08, 2021",2021-12-12T19:52:54Z
Q4,00:56,Foul: Personal,Kyle Kuzma,Jerami Grant,CNC,Kuzma (WAS) makes marginal contact with Grant (DET) off ball that does not affect his ability to get to the pass.,67.34694% Complete    01:25.0       To       00:51.1,gameId=0022100368%0d,Wizards(119) @ Pistons(116),"December 08, 2021",2021-12-12T19:52:54Z
Q4,00:52.8,Foul: Shooting,Kyle Kuzma,Jerami Grant,CNC,Kuzma (WAS) makes incidental contact with Grant's (DET) arm after the release of his jump shot attempt.,67.34694% Complete    01:25.0       To       00:51.1,gameId=0022100368%0d,Wizards(119) @ Pistons(116),"December 08, 2021",2021-12-12T19:52:54Z
Q4,00:36.7,Foul: Offensive,Daniel Gafford,Hamidou Diallo,CNC,Gafford (WAS) establishes himself in a screening position in Diallo's (DET) path and makes marginal contact as they disengage.,40.816326% Complete    00:51.1       To       00:31.0,gameId=0022100368%0d,Wizards(119) @ Pistons(116),"December 08, 2021",2021-12-12T19:52:54Z
Q4,00:31.0,Foul: Offensive,Isaiah Stewart,Kentavious Caldwell-Pope,CNC,Stewart (DET) establishes himself in a screening position in Caldwell-Pope's (WAS) path and is firming up when contact occurs.,16.32653% Complete    00:31.0       To       00:22.2,gameId=0022100368%0d,Wizards(119) @ Pistons(116),"December 08, 2021",2021-12-12T19:52:54Z
Q4,00:24,Turnover: 3 Second Violation,Isaiah Stewart,Wizards,INC,Stewart (DET) is in the lane for longer than three seconds prior to his shot attempt near the rim.,16.32653% Complete    00:31.0       To       00:22.2,gameId=0022100368%0d,Wizards(119) @ Pistons(116),"December 08, 2021",2021-12-12T19:52:54Z
Q4,00:23.1,Foul: Shooting,Kyle Kuzma,Isaiah Stewart,CNC,Kuzma (WAS) places his arm to Stewart's (DET) side and marginal contact occurs during his shot attempt near the rim.,16.32653% Complete    00:31.0       To       00:22.2,gameId=0022100368%0d,Wizards(119) @ Pistons(116),"December 08, 2021",2021-12-12T19:52:54Z
