game_id,game_date,season,game_code,home_team_id,home_team,home_team_abbr,away_team_id,away_team,away_team_abbr,official1,official1_code,official1_JNum,official2,official2_code,official2_JNum,official3,official3_code,official3_JNum,official4,official4_code,official4_JNum,replaycenter_official1,replaycenter_official2,replaycenter_official3,replaycenter_official4,replaycenter_official5,replaycenter_official6,replaycenter_official7,replaycenter_official_code1,replaycenter_official_code2,replaycenter_official_code3,replaycenter_official_code4,replaycenter_official_code5,replaycenter_official_code6,replaycenter_official_code7
0021500273,12/02/2015,22015,20151202/DENCHI,1610612741,Chicago,CHI,1610612743,Denver,DEN,Jason Phillips,2001,NA,Brent Barnaky,201638,NA,Lauren Holtkamp,202296,NA,NA,NA,NA,Eric Dalen,Pat Fraher,Gediminas Petraitis,NA,NA,NA,NA,200833,2003,204058,NA,NA,NA,NA
0021500268,12/02/2015,22015,20151202/GSWCHA,1610612766,Charlotte,CHA,1610612744,Golden State,GSW,Sean Wright,2882,NA,Leroy Richardson,1188,NA,Dedric Taylor,203592,NA,NA,NA,NA,Eric Dalen,Pat Fraher,Gediminas Petraitis,NA,NA,NA,NA,200833,2003,204058,NA,NA,NA,NA
0021500276,12/02/2015,22015,20151202/INDLAC,1610612746,L.A. Clippers,LAC,1610612754,Indiana,IND,Mike Callahan,1147,NA,Sean Corbin,1151,NA,Tyler Ford,204059,NA,NA,NA,NA,Eric Dalen,Pat Fraher,Gediminas Petraitis,NA,NA,NA,NA,200833,2003,204058,NA,NA,NA,NA
0021500269,12/02/2015,22015,20151202/LALWAS,1610612764,Washington,WAS,1610612747,L.A. Lakers,LAL,Tony Brown,2529,NA,David Jones,1168,NA,Karl Lane,202026,NA,NA,NA,NA,Eric Dalen,Pat Fraher,Gediminas Petraitis,NA,NA,NA,NA,200833,2003,204058,NA,NA,NA,NA
0021500275,12/02/2015,22015,20151202/MILSAS,1610612759,San Antonio,SAS,1610612749,Milwaukee,MIL,Scott Foster,1162,NA,Kane Fitzgerald,201640,NA,Scott Twardoski,202053,NA,NA,NA,NA,Eric Dalen,Pat Fraher,Gediminas Petraitis,NA,NA,NA,NA,200833,2003,204058,NA,NA,NA,NA
0021500274,12/02/2015,22015,20151202/NOPHOU,1610612745,Houston,HOU,1610612740,New Orleans,NOP,Brian Forte,101283,NA,Kevin Scott,202041,NA,Gary Zielinski,1664,NA,NA,NA,NA,Eric Dalen,Pat Fraher,Gediminas Petraitis,NA,NA,NA,NA,200833,2003,204058,NA,NA,NA,NA
0021500271,12/02/2015,22015,20151202/PHINYK,1610612752,New York,NYK,1610612755,Philadelphia,PHI,Monty McCutchen,1176,NA,Matt Boland,2005,NA,Derek Richardson,1204,NA,NA,NA,NA,Eric Dalen,Pat Fraher,Gediminas Petraitis,NA,NA,NA,NA,200833,2003,204058,NA,NA,NA,NA
0021500270,12/02/2015,22015,20151202/PHXDET,1610612765,Detroit,DET,1610612756,Phoenix,PHX,Courtney Kirkland,2004,NA,Derrick Collins,2002,NA,Justin Van Duyne,202474,NA,NA,NA,NA,Eric Dalen,Pat Fraher,Gediminas Petraitis,NA,NA,NA,NA,200833,2003,204058,NA,NA,NA,NA
0021500272,12/02/2015,22015,20151202/TORATL,1610612737,Atlanta,ATL,1610612761,Toronto,TOR,Tony Brothers,1146,NA,Nick Buchert,202007,NA,Leon Wood,1201,NA,NA,NA,NA,Eric Dalen,Pat Fraher,Gediminas Petraitis,NA,NA,NA,NA,200833,2003,204058,NA,NA,NA,NA
0021500282,12/03/2015,22015,20151203/BOSSAC,1610612758,Sacramento,SAC,1610612738,Boston,BOS,Bill Kennedy,1662,NA,Bennie Adams,1363,NA,Ben Taylor,202049,NA,NA,NA,NA,Pat Fraher,James Williams,NA,NA,NA,NA,NA,2003,202058,NA,NA,NA,NA,NA
0021500278,12/03/2015,22015,20151203/DENTOR,1610612761,Toronto,TOR,1610612743,Denver,DEN,John Goble,101284,NA,Tre Maddox,202027,NA,Scott Wall,1198,NA,NA,NA,NA,Pat Fraher,James Williams,NA,NA,NA,NA,NA,2003,202058,NA,NA,NA,NA,NA
0021500281,12/03/2015,22015,20151203/INDPOR,1610612757,Portland,POR,1610612754,Indiana,IND,James Capers,1148,NA,Steve Anderson,202000,NA,Josh Tiven,201639,NA,NA,NA,NA,Pat Fraher,James Williams,NA,NA,NA,NA,NA,2003,202058,NA,NA,NA,NA,NA
0021500277,12/03/2015,22015,20151203/OKCMIA,1610612748,Miami,MIA,1610612760,Oklahoma City,OKC,Danny Crawford,1152,NA,David Guthrie,2714,NA,Eli Roe,2532,NA,NA,NA,NA,Pat Fraher,James Williams,NA,NA,NA,NA,NA,2003,202058,NA,NA,NA,NA,NA
0021500279,12/03/2015,22015,20151203/ORLUTA,1610612762,Utah,UTA,1610612753,Orlando,ORL,Bill Spooner,1194,NA,Mark Ayotte,2148,NA,Kevin Cutler,201246,NA,NA,NA,NA,Pat Fraher,James Williams,NA,NA,NA,NA,NA,2003,202058,NA,NA,NA,NA,NA
0021500280,12/03/2015,22015,20151203/SASMEM,1610612763,Memphis,MEM,1610612759,San Antonio,SAS,Ron Garretson,1164,NA,Eric Lewis,2715,NA,Dedric Taylor,203592,NA,NA,NA,NA,Pat Fraher,James Williams,NA,NA,NA,NA,NA,2003,202058,NA,NA,NA,NA,NA
0021500283,12/04/2015,22015,20151204/BKNNYK,1610612752,New York,NYK,1610612751,Brooklyn,BKN,Marc Davis,1830,NA,Pat Fraher,2003,NA,Justin Van Duyne,202474,NA,NA,NA,NA,Matt Boland,James Williams,NA,NA,NA,NA,NA,2005,202058,NA,NA,NA,NA,NA
0021500288,12/04/2015,22015,20151204/CLENOP,1610612740,New Orleans,NOP,1610612739,Cleveland,CLE,Jason Phillips,2001,NA,Curtis Blair,200832,NA,Kane Fitzgerald,201640,NA,NA,NA,NA,Matt Boland,James Williams,NA,NA,NA,NA,NA,2005,202058,NA,NA,NA,NA,NA
0021500287,12/04/2015,22015,20151204/HOUDAL,1610612742,Dallas,DAL,1610612745,Houston,HOU,Tom Washington,1199,NA,Brent Barnaky,201638,NA,Gediminas Petraitis,204058,NA,NA,NA,NA,Matt Boland,James Williams,NA,NA,NA,NA,NA,2005,202058,NA,NA,NA,NA,NA
0021500286,12/04/2015,22015,20151204/LALATL,1610612737,Atlanta,ATL,1610612747,L.A. Lakers,LAL,Ed Malloy,2530,NA,Brian Forte,101283,NA,Derek Richardson,1204,NA,NA,NA,NA,Matt Boland,James Williams,NA,NA,NA,NA,NA,2005,202058,NA,NA,NA,NA,NA
0021500285,12/04/2015,22015,20151204/MILDET,1610612765,Detroit,DET,1610612749,Milwaukee,MIL,Ken Mauer,1174,NA,Tony Brown,2529,NA,Leon Wood,1201,NA,NA,NA,NA,Matt Boland,James Williams,NA,NA,NA,NA,NA,2005,202058,NA,NA,NA,NA,NA
0021500284,12/04/2015,22015,20151204/PHXWAS,1610612764,Washington,WAS,1610612756,Phoenix,PHX,Monty McCutchen,1176,NA,Nick Buchert,202007,NA,Scott Twardoski,202053,NA,NA,NA,NA,Matt Boland,James Williams,NA,NA,NA,NA,NA,2005,202058,NA,NA,NA,NA,NA
0021500296,12/05/2015,22015,20151205/BOSSAS,1610612759,San Antonio,SAS,1610612738,Boston,BOS,Tom Washington,1199,NA,Derrick Collins,2002,NA,Gediminas Petraitis,204058,NA,NA,NA,NA,Matt Boland,David Jones,Justin Van Duyne,James Williams,NA,NA,NA,2005,1168,202474,202058,NA,NA,NA
0021500292,12/05/2015,22015,20151205/CHACHI,1610612741,Chicago,CHI,1610612766,Charlotte,CHA,Derrick Stafford,1195,NA,Michael Smith,1193,NA,Scott Wall,1198,NA,NA,NA,NA,Matt Boland,David Jones,Justin Van Duyne,James Williams,NA,NA,NA,2005,1168,202474,202058,NA,NA,NA
0021500291,12/05/2015,22015,20151205/CLEMIA,1610612748,Miami,MIA,1610612739,Cleveland,CLE,Sean Wright,2882,NA,Bill Kennedy,1662,NA,Scott Twardoski,202053,NA,NA,NA,NA,Matt Boland,David Jones,Justin Van Duyne,James Williams,NA,NA,NA,2005,1168,202474,202058,NA,NA,NA
0021500289,12/05/2015,22015,20151205/DENPHI,1610612755,Philadelphia,PHI,1610612743,Denver,DEN,Mike Callahan,1147,NA,Mark Lindsay,200834,NA,Kevin Scott,202041,NA,NA,NA,NA,Matt Boland,David Jones,Justin Van Duyne,James Williams,NA,NA,NA,2005,1168,202474,202058,NA,NA,NA
