game_id,game_date,season,game_code,home_team_id,home_team,home_team_abbr,away_team_id,away_team,away_team_abbr,official1,official1_code,official2,official2_code,official3,official3_code,official4,official4_code,official1_JNum,official2_JNum,official3_JNum,official4_JNum
0021500273,12/02/2015,22015,20151202/DENCHI,1610612741,Chicago,CHI,1610612743,Denver,DEN,Jason Phillips,2001,Brent Barnaky,201638,Lauren Holtkamp,202296,NA,NA,NA,NA,NA,NA
0021500268,12/02/2015,22015,20151202/GSWCHA,1610612766,Charlotte,CHA,1610612744,Golden State,GSW,Sean Wright,2882,Leroy Richardson,1188,Dedric Taylor,203592,NA,NA,NA,NA,NA,NA
0021500276,12/02/2015,22015,20151202/INDLAC,1610612746,L.A. Clippers,LAC,1610612754,Indiana,IND,Mike Callahan,1147,Sean Corbin,1151,Tyler Ford,204059,NA,NA,NA,NA,NA,NA
0021500269,12/02/2015,22015,20151202/LALWAS,1610612764,Washington,WAS,1610612747,L.A. Lakers,LAL,Tony Brown,2529,David Jones,1168,Karl Lane,202026,NA,NA,NA,NA,NA,NA
0021500275,12/02/2015,22015,20151202/MILSAS,1610612759,San Antonio,SAS,1610612749,Milwaukee,MIL,Scott Foster,1162,Kane Fitzgerald,201640,Scott Twardoski,202053,NA,NA,NA,NA,NA,NA
0021500274,12/02/2015,22015,20151202/NOPHOU,1610612745,Houston,HOU,1610612740,New Orleans,NOP,Brian Forte,101283,Kevin Scott,202041,Gary Zielinski,1664,NA,NA,NA,NA,NA,NA
0021500271,12/02/2015,22015,20151202/PHINYK,1610612752,New York,NYK,1610612755,Philadelphia,PHI,Monty McCutchen,1176,Matt Boland,2005,Derek Richardson,1204,NA,NA,NA,NA,NA,NA
0021500270,12/02/2015,22015,20151202/PHXDET,1610612765,Detroit,DET,1610612756,Phoenix,PHX,Courtney Kirkland,2004,Derrick Collins,2002,Justin Van Duyne,202474,NA,NA,NA,NA,NA,NA
0021500272,12/02/2015,22015,20151202/TORATL,1610612737,Atlanta,ATL,1610612761,Toronto,TOR,Tony Brothers,1146,Nick Buchert,202007,Leon Wood,1201,NA,NA,NA,NA,NA,NA
0021500282,12/03/2015,22015,20151203/BOSSAC,1610612758,Sacramento,SAC,1610612738,Boston,BOS,Bill Kennedy,1662,Bennie Adams,1363,Ben Taylor,202049,NA,NA,NA,NA,NA,NA
