date,weekday,month,day,year,season,away,home,oppoenent,time_est,networks,network_1,network_2,network_3,date_old,preseason
11/13/2001,Tue,11,13,2001,2002,TOR ,SAC,Toronto @ Sacramento,8:00 PM,TBS TSN,TBS,TSN,,Tue Nov 13,0
11/14/2001,Wed,11,14,2001,2002,ORL ,PHO,Orlando @ Phoenix,8:00 PM,TNT,TNT,,,Wed Nov 14,0
11/15/2001,Thu,11,15,2001,2002,LAL ,HOU,L.A. Lakers @ Houston,9:00 PM,TNT,TNT,,,Thu Nov 15,0
11/20/2001,Tue,11,20,2001,2002,NOP ,WAS,Charlotte @ Washington,8:00 PM,TBS,TBS,,,Tue Nov 20,0
11/22/2001,Thu,11,22,2001,2002,WAS ,IND,Washington @ Indiana,8:00 PM,TNT,TNT,,,Thu Nov 22,0
11/22/2001,Thu,11,22,2001,2002,MIL ,TOR,Milwaukee @ Toronto,8:00 PM,TSN,TSN,,,Thu Nov 22,0
11/25/2001,Sun,11,25,2001,2002,PHI ,TOR,Philadelphia @ Toronto,12:30 PM,CTV,CTV,,,Sun Nov 25,0
11/27/2001,Tue,11,27,2001,2002,SAC ,HOU,Sacramento @ Houston,8:00 PM,TBS,TBS,,,Tue Nov 27,0
11/27/2001,Tue,11,27,2001,2002,MIL ,LAL,Milwaukee @ L.A. Lakers,10:30 PM,TBS,TBS,,,Tue Nov 27,0
11/28/2001,Wed,11,28,2001,2002,WAS ,PHI,Washington @ Philadelphia,8:00 PM,TNT TSN,TNT,TSN,,Wed Nov 28,0
12/1/2001,Sat,12,1,2001,2002,ORL ,WAS,Orlando @ Washington,6:30 PM,NBC,NBC,,,Sat Dec 1,0
12/2/2001,Sun,12,2,2001,2002,BOS ,TOR,Boston @ Toronto,3:00 PM,CTV,CTV,,,Sun Dec 2,0
12/4/2001,Tue,12,4,2001,2002,PHI ,SAC,Philadelphia @ Sacramento,8:00 PM,TBS,TBS,,,Tue Dec 4,0
12/5/2001,Wed,12,5,2001,2002,PHO ,BRK,Phoenix @ New Jersey,8:00 PM,TNT,TNT,,,Wed Dec 5,0
12/6/2001,Thu,12,6,2001,2002,TOR ,MIL,Toronto @ Milwaukee,9:00 PM,TNT,TNT,,,Thu Dec 6,0
12/9/2001,Sun,12,9,2001,2002,PHO ,TOR,Phoenix @ Toronto,3:00 PM,CTV,CTV,,,Sun Dec 9,0
12/11/2001,Tue,12,11,2001,2002,PHI ,ATL,Philadelphia @ Atlanta,8:00 PM,TBS,TBS,,,Tue Dec 11,0
12/13/2001,Thu,12,13,2001,2002,ORL ,GSW,Orlando @ Golden State,9:00 PM,TNT,TNT,,,Thu Dec 13,0
12/16/2001,Sun,12,16,2001,2002,WAS ,TOR,Washington @ Toronto,3:00 PM,CTV,CTV,,,Sun Dec 16,0
12/18/2001,Tue,12,18,2001,2002,LAC ,PHO,L.A. Clippers @ Phoenix,8:00 PM,TBS,TBS,,,Tue Dec 18,0
12/19/2001,Wed,12,19,2001,2002,TOR ,IND,Toronto @ Indiana,8:00 PM,TNT,TNT,,,Wed Dec 19,0
12/20/2001,Thu,12,20,2001,2002,LAL ,HOU,L.A. Lakers @ Houston,9:00 PM,TNT TSN,TNT,TSN,,Thu Dec 20,0
12/23/2001,Sun,12,23,2001,2002,MIA ,TOR,Miami @ Toronto,3:00 PM,CTV,CTV,,,Sun Dec 23,0
12/25/2001,Tue,12,25,2001,2002,TOR ,NYK,Toronto @ New York,6:00 PM,NBC CTV,NBC,CTV,,Tue Dec 25,0
