szn,team,ref_rating,tv_games,games
2015,ATL,3.0333132358005823,6,62
2015,BKN,2.903323957543925,1,64
2015,BOS,2.94900762351751,8,64
2015,CHA,3.026568536453656,0,65
2015,CHI,3.0856769770380237,19,67
2015,CLE,3.153227264893087,21,64
2015,DAL,3.058698073928007,4,63
2015,DEN,2.958386888234416,0,64
2015,DET,3.007698442176027,4,64
2015,GSW,3.0586318655119555,22,63
2015,HOU,3.0583833349273415,15,64
2015,IND,3.075276788553379,6,66
2015,LAC,3.0347876420073177,18,64
2015,LAL,2.9604171627835902,15,65
2015,MEM,2.9472466557032146,10,63
2015,MIA,2.9752777538951998,11,66
2015,MIL,2.949016458199004,0,64
2015,MIN,2.905230286840006,4,64
2015,NOP,2.955458448509137,8,64
2015,NYK,3.01331462578869,6,64
2015,OKC,3.067838648573951,21,64
2015,ORL,2.922101344355744,0,64
2015,PHI,2.9698012692243325,0,63
2015,PHX,2.9668237783285347,3,64
2015,POR,2.992219372700348,3,63
2015,SAC,2.9216171034579514,3,63
2015,SAS,3.122614569325235,19,64
2015,TOR,2.9894211747250004,2,64
2015,UTA,2.978343927091007,2,66
2015,WAS,2.957772265629573,5,67
2016,ATL,2.9214629946327415,8,82
2016,BKN,2.948368913685061,1,82
2016,BOS,3.077353542864983,21,82
2016,CHA,3.009823467825286,3,82
2016,CHI,3.0396485102649233,23,82
2016,CLE,3.08571321343065,27,82
2016,DAL,3.05222977747539,6,82
2016,DEN,2.9491817413753734,2,82
2016,DET,3.0018989785949524,5,82
2016,GSW,3.139210647000344,30,82
2016,HOU,3.0476824268979197,17,82
2016,IND,3.0685648215824903,9,82
2016,LAC,3.0832389124844246,25,82
2016,LAL,3.0295101230983414,15,82
2016,MEM,2.9979610117671087,6,82
2016,MIA,2.920143684956009,3,82
2016,MIL,3.0257434445409253,6,82
2016,MIN,2.968613365572987,10,82
2016,NOP,2.9275471246688176,5,82
2016,NYK,2.993788496232417,18,82
2016,OKC,3.0508129171204375,24,82
2016,ORL,2.8624038562354297,0,82
2016,PHI,2.9417023167572562,4,82
2016,PHX,2.9491770212336754,4,82
2016,POR,2.9557495454821523,14,82
2016,SAC,2.912529425764637,2,82
2016,SAS,3.065350898635019,22,82
2016,TOR,2.9808594692852797,5,82
2016,UTA,3.0339083315031092,7,82
2016,WAS,2.9625210842321392,6,82
2017,ATL,2.9252886600603807,0,82
2017,BKN,3.01713278314103,0,82
2017,BOS,3.1009023716909883,26,82
2017,CHA,2.9433719378255545,3,82
2017,CHI,2.9383540958420027,1,82
2017,CLE,3.0301813874626706,27,82
2017,DAL,2.9736369800919644,5,82
2017,DEN,2.941309996007014,9,82
2017,DET,2.9451961208404795,5,82
2017,GSW,3.0547365421555983,31,82
2017,HOU,2.988997089735211,28,82
2017,IND,2.997701797395131,1,82
2017,LAC,3.09507648708215,20,82
2017,LAL,3.0178505036244494,24,82
2017,MEM,3.006069322731256,2,82
2017,MIA,2.9226964228212764,4,82
2017,MIL,2.9874092935800958,10,82
2017,MIN,3.015020597854257,19,82
2017,NOP,2.924768598813397,7,82
2017,NYK,3.0001926104822267,7,82
2017,OKC,3.135914068586422,27,82
2017,ORL,2.8959351946134695,0,82
2017,PHI,3.0580864106576846,15,82
2017,PHX,2.9531971885020876,4,82
2017,POR,3.049356284763033,10,82
2017,SAC,2.941573826748196,3,82
2017,SAS,3.036125301841801,24,82
2017,TOR,3.005074457739092,5,82
2017,UTA,3.056463493068064,7,82
2017,WAS,3.0433256572160836,18,82
2018,ATL,2.8902166277770838,1,81
2018,BKN,2.939839757834393,1,81
2018,BOS,3.0614405261029902,28,81
2018,CHA,2.967394299777337,1,81
2018,CHI,2.9544817141009854,3,81
2018,CLE,2.8947791264279927,1,82
2018,DAL,2.9959156604059736,7,81
2018,DEN,3.0880668636253175,14,81
2018,DET,2.9453474395098027,2,81
2018,GSW,3.059330439521743,30,82
2018,HOU,3.1077270789329723,28,81
2018,IND,3.020046838799747,11,81
2018,LAC,3.003641322612779,5,81
2018,LAL,3.0890640502036013,31,82
2018,MEM,2.9433360777959217,1,81
2018,MIA,2.972651279328087,3,81
2018,MIL,3.033412858657294,17,82
2018,MIN,2.976880544111052,11,81
2018,NOP,2.9793405463074194,11,81
2018,NYK,2.9504273561193815,5,81
2018,OKC,3.1414028916815733,28,82
2018,ORL,2.910517068668724,1,81
2018,PHI,3.06275535554804,27,81
2018,PHX,2.952692458087319,3,81
2018,POR,3.0328589941214856,15,81
2018,SAC,2.9636281377198195,1,82
2018,SAS,2.9909678755578377,13,81
2018,TOR,3.028944821315325,16,81
2018,UTA,3.0053931737893667,13,81
2018,WAS,3.0352566241486105,6,81
2019,ATL,2.900547149400501,1,67
2019,BKN,3.016050821335666,10,72
2019,BOS,3.0755277822191927,29,72
2019,CHA,2.891916667362662,1,65
2019,CHI,2.8026897112034628,1,65
2019,CLE,2.8348553322856405,1,65
2019,DAL,3.0755893705447366,22,75
2019,DEN,3.0791831879988427,18,73
2019,DET,2.850925129742547,1,66
2019,GSW,3.069064822415772,16,65
2019,HOU,3.1344211069925296,25,72
2019,IND,2.947536587948586,6,73
2019,LAC,3.1664487391361433,29,73
2019,LAL,3.170588254427775,35,72
2019,MEM,2.960715240540605,4,73
2019,MIA,3.010783104588547,11,73
