szn,szn_type,official,ref_points,games,ref_rating
2016,playoffs,Bennie Adams,9,3,3
2016,playoffs,Bill Kennedy,22,10,2.2
2016,playoffs,Bill Spooner,11,7,1.5714285714285714
2016,playoffs,Brian Forte,10,4,2.5
2016,playoffs,Courtney Kirkland,7,3,2.3333333333333335
2016,playoffs,Danny Crawford,80,16,5
2016,playoffs,David Guthrie,8,4,2
2016,playoffs,Derrick Collins,9,3,3
2016,playoffs,Derrick Stafford,38,12,3.1666666666666665
2016,playoffs,Ed Malloy,17,11,1.5454545454545454
2016,playoffs,Eric Lewis,7,3,2.3333333333333335
2016,playoffs,Gary Zielinski,1,1,1
2016,playoffs,James Capers,38,10,3.8
2016,playoffs,James Williams,7,5,1.4
2016,playoffs,Jason Phillips,16,12,1.3333333333333333
2016,playoffs,John Goble,17,9,1.8888888888888888
2016,playoffs,Josh Tiven,3,3,1
2016,playoffs,Kane Fitzgerald,24,8,3
2016,playoffs,Ken Mauer,58,12,4.833333333333333
2016,playoffs,Leroy Richardson,4,2,2
2016,playoffs,Marc Davis,50,14,3.5714285714285716
2016,playoffs,Mark Ayotte,3,1,3
2016,playoffs,Mark Lindsay,1,1,1
2016,playoffs,Michael Smith,1,1,1
2016,playoffs,Mike Callahan,74,16,4.625
2016,playoffs,Monty McCutchen,76,16,4.75
2016,playoffs,Pat Fraher,13,5,2.6
2016,playoffs,Rodney Mott,9,5,1.8
2016,playoffs,Ron Garretson,14,6,2.3333333333333335
2016,playoffs,Scott Foster,70,14,5
2016,playoffs,Sean Corbin,15,5,3
2016,playoffs,Sean Wright,9,7,1.2857142857142858
2016,playoffs,Tom Washington,10,8,1.25
2016,playoffs,Tony Brothers,27,9,3
2016,playoffs,Tony Brown,6,2,3
2016,playoffs,Zach Zarba,10,10,1
2016,regular season,Aaron Smith,14,8,1.75
2016,regular season,Ben Taylor,56,44,1.2727272727272727
2016,regular season,Bennie Adams,135,45,3
2016,regular season,Bill Kennedy,220,52,4.230769230769231
2016,regular season,Bill Spooner,180,36,5
2016,regular season,Brent Barnaky,151,51,2.9607843137254903
2016,regular season,Brett Nansel,14,8,1.75
2016,regular season,Brian Forte,161,53,3.0377358490566038
2016,regular season,Courtney Kirkland,135,51,2.6470588235294117
2016,regular season,Curtis Blair,100,38,2.6315789473684212
2016,regular season,Danny Crawford,225,45,5
2016,regular season,David Guthrie,138,52,2.6538461538461537
2016,regular season,David Jones,94,40,2.35
