szn,szn_type,team,ref_rating,tv_games,games
2016,playoffs,ATL,2.8794708994708995,9,10
2016,playoffs,BOS,2.8945546737213403,5,6
2016,playoffs,CHA,2.7590909090909093,5,7
2016,playoffs,CLE,3.1891981034838177,21,21
2016,playoffs,DAL,2.943321308321308,5,5
2016,playoffs,DET,2.6406746031746033,4,4
2016,playoffs,GSW,3.2887220418470418,24,24
2016,playoffs,HOU,2.741178451178451,5,5
2016,playoffs,IND,2.894198790627362,5,7
2016,playoffs,LAC,2.709337421837422,5,6
2016,playoffs,MEM,2.5196097883597885,4,4
2016,playoffs,MIA,2.9243824297395724,12,14
2016,playoffs,OKC,3.1350208433541766,18,18
2016,playoffs,POR,2.931278149459968,10,11
2016,playoffs,SAS,2.8775132275132274,10,10
2016,playoffs,TOR,3.032593193843194,18,20
2016,regular season,ATL,3.0333132358005823,6,62
2016,regular season,BKN,2.903323957543925,1,64
2016,regular season,BOS,2.94900762351751,8,64
2016,regular season,CHA,3.026568536453656,0,65
2016,regular season,CHI,3.0856769770380237,19,67
2016,regular season,CLE,3.153227264893087,21,64
2016,regular season,DAL,3.058698073928007,4,63
2016,regular season,DEN,2.958386888234416,0,64
2016,regular season,DET,3.007698442176027,4,64
2016,regular season,GSW,3.0586318655119555,22,63
2016,regular season,HOU,3.0583833349273415,15,64
2016,regular season,IND,3.075276788553379,6,66
2016,regular season,LAC,3.0347876420073177,18,64
2016,regular season,LAL,2.9604171627835902,15,65
2016,regular season,MEM,2.9472466557032146,10,63
2016,regular season,MIA,2.9752777538951998,11,66
2016,regular season,MIL,2.949016458199004,0,64
2016,regular season,MIN,2.905230286840006,4,64
2016,regular season,NOP,2.955458448509137,8,64
2016,regular season,NYK,3.01331462578869,6,64
2016,regular season,OKC,3.067838648573951,21,64
2016,regular season,ORL,2.922101344355744,0,64
2016,regular season,PHI,2.9698012692243325,0,63
2016,regular season,PHX,2.9668237783285347,3,64
2016,regular season,POR,2.992219372700348,3,63
2016,regular season,SAC,2.9216171034579514,3,63
2016,regular season,SAS,3.122614569325235,19,64
2016,regular season,TOR,2.9894211747250004,2,64
2016,regular season,UTA,2.978343927091007,2,66
2016,regular season,WAS,2.957772265629573,5,67
2017,playoffs,ATL,2.6974747474747476,4,6
2017,playoffs,BOS,3.02828683662017,18,18
2017,playoffs,CHI,2.8733164983164983,6,6
2017,playoffs,CLE,3.302192560525894,18,18
2017,playoffs,GSW,3.2281512605042018,17,17
2017,playoffs,HOU,2.7738095238095237,11,11
2017,playoffs,IND,2.9995670995670993,4,4
2017,playoffs,LAC,3.0671407957122243,6,7
2017,playoffs,MEM,2.8361111111111112,5,6
2017,playoffs,MIL,2.8625901875901874,3,6
2017,playoffs,OKC,2.5506060606060608,5,5
2017,playoffs,POR,2.922294372294372,4,4
2017,playoffs,SAS,3.001785714285714,15,16
2017,playoffs,TOR,3.043059163059163,7,10
2017,playoffs,UTA,3.02096287550833,10,11
2017,playoffs,WAS,2.88028638028638,11,13
2017,pre-season,ATL,3.123809523809524,0,7
2017,pre-season,BKN,3.1166666666666667,0,6
2017,pre-season,BOS,3.2412698412698413,1,7
2017,pre-season,CHA,3.088888888888889,0,7
