period,time,call_type,committing,disadvantaged,decision,comments,game_details,page,file,game_date,away_team,home_team,call,type,date,home,away,scrape_time,stint,home_bkref,bkref_id,ref_1,ref_2,ref_3,attendance,committing_min,committing_team,committing_side,disadvantaged_min,disadvantaged_team,disadvantaged_side,type2,time_min,time_sec,time2,season,playoffs,decision_2,decision_3,correct,correct_num,foul,foul_num,temp_year,temp_date
Q4,01:40.0,Foul: Personal,Tony Allen,Ryan Anderson,CNC,Allen (MEM) strips the ball from Asik (NOP) immediately after he gathers the rebound.,"Grizzlies @ Pelicans (Mar 07, 2015)",1,L2M-MEM-NOP-3-7-15.pdf,"Mar 07, 2015",MEM,NOP,FOUL,PERSONAL,2015-03-07,NOP,MEM,NA,NA,NOP,201503070NOP,Dan Crawford,David Guthrie,Gary Zielinski,17346,32,MEM,away,NA,NOP,home,PERSONAL,1,40,1.6666666666666665,2015,0,CNC,CNC,correct,1,clean,0,2016,2016-03-07
Q5,01:40.0,Foul: Personal,Joe Young,Dario Saric,CNC,Young (IND) makes incidental contact with Saric (PHI) that does not affect his SQBR.,"76ers @ Pacers (Nov 09, 2016)",2,L2M-PHI-IND-11-9-16.pdf,"Nov 09, 2016",PHI,IND,FOUL,PERSONAL,2016-11-09,IND,PHI,NA,NA,IND,201611090IND,Tony Brothers,Derek Richardson,Kevin Scott,15360,NA,IND,home,33.6,PHI,away,PERSONAL,1,40,1.6666666666666665,2017,0,CNC,CNC,correct,1,clean,0,2015,2015-11-09
Q5,00:29.6,Foul: Loose Ball,Joe Young,Ersan Ilyasova,CNC,Young (IND) and Ilyasova (PHI) make incidental contact with one another during rebounding.,"76ers @ Pacers (Nov 09, 2016)",2,L2M-PHI-IND-11-9-16.pdf,"Nov 09, 2016",PHI,IND,FOUL,LOOSE BALL,2016-11-09,IND,PHI,NA,NA,IND,201611090IND,Tony Brothers,Derek Richardson,Kevin Scott,15360,NA,IND,home,20.9,PHI,away,LOOSE BALL,0,29.6,0.49333333333333335,2017,0,CNC,CNC,correct,1,clean,0,2015,2015-11-09
Q4,00:08.9,Foul: Loose Ball,Joe Young,Enes Kanter,CNC,Young (IND) and Kanter (OKC) briefly engage and separate during rebounding.,"Pacers @ Thunder (Nov 20, 2016)",1,L2M-IND-OKC-11-20-16.pdf,"Nov 20, 2016",IND,OKC,FOUL,LOOSE BALL,2016-11-20,OKC,IND,NA,NA,OKC,201611200OKC,Tony Brothers,Nick Buchert,Lauren Holtkamp-Sterling,18203,NA,IND,away,25.483333333333334,OKC,home,LOOSE BALL,0,8.9,0.14833333333333334,2017,0,CNC,CNC,correct,1,clean,0,2015,2015-11-20
Q5,00:28.5,Foul: Loose Ball,Joe Young,Steven Adams,CNC,Young (IND) and Adams (OKC) briefly engage and separate during rebounding.,"Pacers @ Thunder (Nov 20, 2016)",2,L2M-IND-OKC-11-20-16.pdf,"Nov 20, 2016",IND,OKC,FOUL,LOOSE BALL,2016-11-20,OKC,IND,NA,NA,OKC,201611200OKC,Tony Brothers,Nick Buchert,Lauren Holtkamp-Sterling,18203,NA,IND,away,33.71666666666667,OKC,home,LOOSE BALL,0,28.5,0.475,2017,0,CNC,CNC,correct,1,clean,0,2015,2015-11-20
Q4,01:25.0,Foul: Personal,Joe Young,Mason Plumlee,CNC,Young (IND) maintains legal guarding position and Plumlee (POR) loses control of the ball.,"Trail Blazers (111) @ Pacers (118) (Dec 10, 2016)",1,L2M-POR-IND-12-10-16.pdf,"Dec 10, 2016",POR,IND,FOUL,PERSONAL,2016-12-10,IND,POR,NA,NA,IND,201612100IND,Tony Brothers,Pat Fraher,Karl Lane,16211,NA,IND,home,25.75,POR,away,PERSONAL,1,25,1.4166666666666667,2017,0,CNC,CNC,correct,1,clean,0,2015,2015-12-10
Q4,00:57.1,Foul: Personal,Al-Farouq Aminu,George Hill,CNC,Aminu (POR) makes marginal contact with Hill (SAC) that does not affect his SQBR.,"Trail Blazers (82) @ Kings (86) November 17, 2017",1,L2M-POR-SAC-11-17-2017.pdf,"November 17, 2017",POR,SAC,FOUL,PERSONAL,2017-11-17,SAC,POR,NA,NA,SAC,201711170SAC,Eric Lewis,C.J. Washington,Gary Zielinski,17583,NA,NA,NA,27.416666666666668,SAC,home,PERSONAL,0,57.1,0.9516666666666667,2018,0,CNC,CNC,correct,1,clean,0,2015,2015-11-17
Q5,01:10.0,Foul: Shooting,Mike Muscala,Jonathon Simmons,CNC,Muscala (ATL) obtains a legal guarding position and jumps vertically as he contests Simmons' (ORL) driving shot attempt.,"Hawks (106) @ Magic (110) December 6, 2017",3,L2M-ATL-ORL-12-06-2017.pdf,"December 6, 2017",ATL,ORL,FOUL,SHOOTING,2017-12-06,ORL,ATL,NA,NA,ORL,201712060ORL,Matt Boland,John Goble,J.T. Orr,16167,NA,NA,NA,40.85,ORL,home,SHOOTING,1,10,1.1666666666666667,2018,0,CNC,CNC,correct,1,clean,0,2015,2015-12-06
Q4,01:27.0,Foul: Shooting,Tyler Ulis,JaMychal Green,CNC,Ulis (PHX) maintains legal guarding position on Evans' (MEM) driving shot attempt.,"Grizzlies (97) @ Suns (99) December 26, 2017",1,L2M-MEM-PHX-12-26-2017.pdf,"December 26, 2017",MEM,PHX,FOUL,SHOOTING,2017-12-26,PHX,MEM,NA,NA,PHO,201712260PHO,Mark Ayotte,Justin Van Duyne,James Williams,17105,27.35,PHX,home,NA,NA,NA,SHOOTING,1,27,1.45,2018,0,CNC,CNC,correct,1,clean,0,2015,2015-12-26
Q4,00:00.4,Turnover: Offensive Goaltending,Tyson Chandler,JaMychal Green,CNC,Chandler (PHX) legally touches the ball above the cylinder on the inbound pass. Goaltending rules do not apply because he,"Grizzlies (97) @ Suns (99) December 26, 2017",2,L2M-MEM-PHX-12-26-2017.pdf,"December 26, 2017",MEM,PHX,TURNOVER,OFFENSIVE GOALTENDING,2017-12-26,PHX,MEM,NA,NA,PHO,201712260PHO,Mark Ayotte,Justin Van Duyne,James Williams,17105,17.833333333333332,PHX,home,NA,NA,NA,OFFENSIVE GOALTENDING,0,0.4,0.006666666666666667,2018,0,CNC,CNC,correct,1,clean,0,2015,2015-12-26
